pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,mw_mean,logp_mean,hba_mean,hbd_mean,rotb_mean,variant
ABL2_HUMAN_274_551_0,7,7,0.5894513351787743,0.1503488906428898,2.999695186801147,0.9010842062778249,0.0014473375822462735,0.09675248596185766,0.0,0.04032258064516129,0.0,252.4025714285715,2.450675714285715,3.142857142857143,2.2857142857142856,4.571428571428571,core
ACE_HUMAN_650_1230_0,10,10,0.40654050061402963,0.11261685202360983,4.184344939607966,0.8922707163204271,0.05401652842708293,0.48851131218367166,11.0,0.0625,0.0,147.1393,-0.9310919999999998,3.8,2.7,2.6,core
AK1BA_HUMAN_1_316_0,9,9,0.5763519481086069,0.12729253520869951,2.282124706676559,0.8112861592472201,0.03787483118995378,0.43870880201169393,4.444444444444445,0.010309278350515464,0.0,168.03533333333334,2.206100000000001,1.6666666666666667,1.1111111111111112,5.222222222222222,core
AKT1_HUMAN_1_137_0,7,7,0.5469244285689715,0.15177657002947312,3.9117558620354553,0.8822477719328031,0.012826710136854498,0.27044803904114156,0.0,0.029914529914529916,0.0,419.9465714285716,4.627194285714289,5.428571428571429,1.5714285714285714,5.142857142857143,core
AROE_THET8_1_263_0,8,8,0.4900755836013821,0.11077860122268234,3.836532460522066,0.8779180375552269,0.035111540579406124,0.4587392154931703,35.0,0.04,0.0,169.655,-0.21454999999999996,3.75,2.5,1.25,core
ABL2_HUMAN_274_551_0,8,8,0.5439963021718026,0.15143820074730405,3.1145845143212307,0.9157707258590054,0.026560788933031904,0.3584001892153826,0.0,0.03636363636363636,0.0,274.42274999999995,1.959783750000001,4.25,2.5,3.875,full
ACE_HUMAN_650_1230_0,9,9,0.5319498420063462,0.07441649830155776,3.3207990041471978,0.8543206011762455,0.002220327626971161,0.10583383249541206,10.0,0.07777777777777778,0.0,156.713,-0.017811111111111173,3.111111111111111,2.111111111111111,2.888888888888889,full
AK1BA_HUMAN_1_316_0,9,9,0.5377504724361174,0.12070249826066022,3.137395542849047,0.9087245245366228,0.016323525836968368,0.2660488731452436,2.2222222222222223,0.03418803418803419,0.0,190.64466666666667,2.0204477777777785,2.4444444444444446,1.6666666666666667,5.555555555555555,full
AKT1_HUMAN_1_137_0,9,9,0.45888158468358103,0.12199302371910445,3.7168590497282548,0.8931455484499344,0.022052617680299442,0.32494373895328554,0.0,0.043478260869565216,0.0,370.15077777777793,3.5636955555555576,4.666666666666667,1.4444444444444444,7.222222222222222,full
AROE_THET8_1_263_0,10,10,0.45411276968966063,0.10077343512135545,3.61103600483865,0.8670825651543728,0.02508104721661388,0.3508119216975052,28.0,0.034482758620689655,0.3,167.19549999999998,-0.7134499999999997,3.7,2.4,1.1,full
ABL2_HUMAN_274_551_0,9,9,0.5534852186656564,0.18082144602317765,3.8549550224980376,0.9201340015554642,2.225231353676676,3.5171338433682653,296.6666666666667,0.040229885057471264,0.0,268.9084444444445,1.7376366666666676,4.777777777777778,2.111111111111111,5.111111111111111,isotropic
ACE_HUMAN_650_1230_0,10,10,0.39570562666320386,0.09709227652500431,3.5147246188006975,0.8452859074471462,8.563054796000804,6.393944314817992,122.0,0.07407407407407407,0.0,131.13479999999998,-0.35219999999999996,2.8,1.9,2.7,isotropic
AK1BA_HUMAN_1_316_0,6,6,0.5911542758422469,0.03283666455127444,3.059874159173775,0.8569493569629724,8.522922530929723,5.402783393833046,20.0,0.060240963855421686,0.0,195.95033333333333,2.284850000000001,2.6666666666666665,1.1666666666666667,4.333333333333333,isotropic
AKT1_HUMAN_1_137_0,5,5,0.5787301990810328,0.19568953519500482,3.9503679758205323,0.8842077886072459,1.2069322361759565,2.8319177134864253,224.0,0.05,0.0,382.7102000000001,3.229572000000002,6.0,2.0,6.6,isotropic
AROE_THET8_1_263_0,9,9,0.543091185892837,0.12597637383956373,3.386300469791333,0.8713466848294502,2.49839734186167,3.192241055626352,110.0,0.06611570247933884,0.0,183.76255555555554,0.6257,3.0,2.4444444444444446,2.3333333333333335,isotropic
ABL2_HUMAN_274_551_0,5,5,0.6115526913380861,0.19882182751158883,3.044661686713893,0.9046021007977529,0.1566399456758852,1.0364432689271097,8.0,0.024691358024691357,0.0,240.92260000000002,1.6938200000000005,3.8,2.6,4.0,wo_op
ACE_HUMAN_650_1230_0,9,9,0.41237099460045973,0.08880564103760397,3.2208374342504236,0.8347330052381262,0.001601310419872675,0.09276289593667703,1.1111111111111112,0.02564102564102564,0.0,138.78088888888888,-0.8445022222222223,3.2222222222222223,2.4444444444444446,2.6666666666666665,wo_op
AK1BA_HUMAN_1_316_0,10,10,0.6218373232312224,0.14380079170659935,2.688078499239954,0.8712408005098404,0.07748914310601224,0.6503803890134038,21.0,0.053691275167785234,0.1,203.8505,2.435670000000001,1.8,1.2,4.4,wo_op
AKT1_HUMAN_1_137_0,7,7,0.5389934829673418,0.16672725636859262,3.7208098081233874,0.9076202272128493,0.2208793556722812,1.1800491162571434,10.0,0.03664921465968586,0.0,356.379142857143,3.143340000000001,4.0,2.2857142857142856,5.857142857142857,wo_op
AROE_THET8_1_263_0,8,8,0.5697629950700802,0.1184666852816907,3.746794629035475,0.8903677288651132,0.034480115782248244,0.4101433749960991,62.5,0.05504587155963303,0.375,181.92899999999997,0.3854374999999999,3.0,1.375,1.0,wo_op
ABL2_HUMAN_274_551_0,9,9,0.6677167071398503,0.0935038420163195,2.9434829271310505,0.9067969545217337,0.022851296007094252,0.3323649022275459,3.3333333333333335,0.054187192118226604,0.0,296.8246666666667,2.674940000000001,4.222222222222222,1.3333333333333333,4.666666666666667,wo_tp
ACE_HUMAN_650_1230_0,6,6,0.39182891567510975,0.0792665085452246,3.5899328619850106,0.8777188865043377,0.002435714026829335,0.11536767233603398,20.0,0.05263157894736842,0.0,149.64683333333332,-1.1107833333333332,4.0,3.0,1.5,wo_tp
AK1BA_HUMAN_1_316_0,8,8,0.653013195249111,0.1381909057816664,3.225457140830141,0.906043138417645,0.006232315733561505,0.17579670575337486,2.5,0.05303030303030303,0.0,220.17025,2.0616375000000002,2.5,1.375,4.75,wo_tp
AKT1_HUMAN_1_137_0,7,7,0.5797261307330575,0.14913684394522783,3.581767111811486,0.890312158843246,0.01616987344590881,0.2908103666678552,0.0,0.05102040816326531,0.0,366.65914285714297,3.525522857142859,5.142857142857143,0.8571428571428571,6.714285714285714,wo_tp
AROE_THET8_1_263_0,7,7,0.414880170554263,0.12580687322053088,2.720037509356544,0.8267447476965406,0.021314327659541454,0.328350475032891,11.428571428571429,0.014492753623188406,0.0,154.97285714285712,-0.6092142857142857,3.2857142857142856,3.2857142857142856,2.2857142857142856,wo_tp
