pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
14gs_A_rec,9,9,0.5502995259854029,0.060707254760999724,3.5917158797493047,0.9200416995569471,0.006073574354078925,0.1879566702480305,0.0,0.018867924528301886,0.0,0.0,163.09566666666666,1.1245077777777779,2.2222222222222223,1.5555555555555556,1.4444444444444444
1a2g_A_rec,8,8,0.46202777662593375,0.08665205893155865,2.250299195237587,0.8999773465531631,0.025760582845404095,0.3819269131370112,0.0,0.0,0.0,0.0,99.71499999999999,-0.17458750000000012,2.25,1.625,0.875
1afs_A_rec,10,10,0.571397210374214,0.15365583815701286,4.4545027477827395,0.8873509682769485,0.24490217618049678,1.0803475684294155,0.0,0.0,0.0,0.0,195.7341,0.5276500000000002,2.9,2.2,2.1
1ai4_A_rec,6,6,0.5565608346048582,0.11300306245579851,2.3815028776257017,0.8814544000083289,0.12576865597361583,0.8858313702161349,0.0,0.014492753623188406,0.0,0.0,164.43283333333332,1.53475,2.5,1.3333333333333333,3.3333333333333335
1coy_A_rec,8,8,0.604150598605452,0.13586898882350773,4.721237225433562,0.9123546794586568,0.15472153641433503,0.9810215688963425,0.0,0.09166666666666666,0.0,0.0,224.61849999999998,1.6817100000000003,3.0,1.75,3.0
1d7j_A_rec,9,9,0.47830927774397214,0.1380906137260795,3.024779380941668,0.8744721819391783,0.16816183946133026,0.7666707491941303,0.0,0.03278688524590164,0.0,0.0,218.55111111111114,1.465944444444445,3.5555555555555554,2.6666666666666665,4.222222222222222
1djy_A_rec,10,10,0.4128208634601833,0.1448979273300801,4.5326125651004086,0.9013711698149472,0.14462939523267554,0.890299680700215,0.0,0.005208333333333333,0.0,0.0,257.0351,-0.9962799999999998,5.6,3.6,1.7
1dxo_C_rec,10,10,0.5475251868139165,0.07324705673152997,3.0302050916579026,0.8716491101217786,0.09888523613992183,0.7192583999504586,0.0,0.017857142857142856,0.0,0.0,169.13549999999995,1.0301800000000005,2.6,1.3,3.9
1e8h_A_rec,8,8,0.2811648529006966,0.15490932123284035,5.168460431863997,0.8537885179850577,0.13165771026753337,0.8571702043046214,0.0,0.035897435897435895,0.0,0.0,354.75887500000005,-2.1232662499999986,9.625,6.25,5.0
1fmc_B_rec,5,5,0.5167962040199127,0.1442860335358705,3.9675311203213774,0.8846934620014762,0.2621488920687509,1.3073993631002536,0.0,0.011111111111111112,0.0,0.0,250.60240000000005,3.433160000000003,2.2,1.2,5.4
1gg5_A_rec,9,9,0.5253558494499613,0.19972816547010627,4.443830691092627,0.9143565465432987,0.020550785555262668,0.34895819065830525,0.0,0.04081632653061224,0.0,0.0,230.44366666666667,0.6350411111111113,3.888888888888889,3.0,3.5555555555555554
1h0i_A_rec,5,5,0.4283907544409063,0.19286204925833364,5.474976874932207,0.8832116420690158,0.12736300442972057,0.9150328014756715,0.0,0.032679738562091505,0.0,0.0,405.9524000000002,1.4620600000000017,6.4,4.2,6.8
1h36_A_rec,6,6,0.5826413845338722,0.14449226240580654,4.067675861605652,0.8596024582159327,0.04775202679920385,0.5371739130650626,0.0,0.031578947368421054,0.0,0.0,412.21516666666685,3.5432950000000027,4.666666666666667,1.5,9.333333333333334
1jn2_P_rec,10,10,0.37699945305650706,0.07922890662740367,3.7919193432851754,0.8924239253710284,0.1314116228186835,0.626646570719191,0.0,0.0,0.0,0.0,166.56869999999998,-1.6018799999999995,4.3,3.5,2.2
1k9t_A_rec,9,9,0.48093835230896687,0.04696252729543662,2.2601027170519834,0.88920516845016,0.010719951666068558,0.24429865382916838,0.0,0.0,0.0,0.0,91.339,0.32773333333333343,1.5555555555555556,1.5555555555555556,1.3333333333333333
1l3l_A_rec,7,7,0.6812479389118885,0.13370917127584478,3.097746695017612,0.9181898767698542,0.043874204516745806,0.48094064606516296,0.0,0.08256880733944955,0.0,0.0,218.79042857142858,2.547520000000001,2.857142857142857,0.8571428571428571,3.857142857142857
1phk_A_rec,3,3,0.39587095244028286,0.23885910304077954,4.52459915646731,0.8766314007418975,0.006719215518142036,0.23365009532843328,0.0,0.0,0.0,0.0,361.20733333333345,0.2353666666666662,7.666666666666667,4.333333333333333,6.666666666666667
1r1h_A_rec,8,8,0.5029769601566138,0.1603752486470962,4.125475918886202,0.8810957011402136,0.15735456657410682,0.9421711692972742,0.0,0.031578947368421054,0.0,0.0,331.29775000000006,1.6355612500000016,4.625,3.25,6.875
1rs9_A_rec,9,9,0.6059085367656887,0.19870523156216144,2.955178187032256,0.8841020113822963,0.10291636342577311,0.7212974146532553,0.0,0.023076923076923078,0.0,0.0,207.308,2.867193333333335,2.2222222222222223,1.1111111111111112,4.777777777777778
1umd_B_rec,6,6,0.4194300822547779,0.09438749730397093,4.65705319461141,0.801337120239491,0.010671130052411737,0.25793817990209095,0.0,0.02112676056338028,0.0,0.0,377.25833333333344,1.2321833333333336,7.333333333333333,3.6666666666666665,6.5
2azy_A_rec,9,9,0.5994361318806685,0.12749806277064138,3.58078325477969,0.9362406982979106,0.07933816844753185,0.6677556842295199,0.0,0.09848484848484848,0.0,0.0,226.50344444444443,3.073462222222224,1.8888888888888888,1.0,3.888888888888889
2cy0_A_rec,7,7,0.4829432112135157,0.11052746905749315,3.1716778751754524,0.8769065448601553,0.004152360298553553,0.1587179624571635,0.0,0.0,0.0,0.0,163.993,-0.2115428571428572,3.5714285714285716,2.5714285714285716,1.5714285714285714
2e24_A_rec,10,10,0.4123110691404344,0.1137384536055176,4.190674559433631,0.8911382199190611,0.7761389031412765,2.0564694991990757,0.0,0.01680672268907563,0.0,0.0,193.4391,-0.9449299999999999,4.3,3.5,3.8
2e6d_A_rec,9,9,0.430509683267587,0.0397507476032031,2.716965863726956,0.8016988106825832,0.1922241934869143,1.069754362467051,0.0,0.0,0.0,0.0,101.08333333333333,-0.4311466666666666,2.3333333333333335,1.6666666666666667,1.5555555555555556
2f2c_B_rec,8,8,0.6090704507689337,0.11020936633936765,2.42329220105681,0.9145057015368799,0.020374294355948043,0.347253000241441,0.0,0.022058823529411766,0.0,0.0,224.149875,1.8987837500000004,3.25,2.0,3.625
2gns_A_rec,10,10,0.6091185285854149,0.09637384543275769,2.743038046983038,0.8638495977695934,0.22324173152676954,1.0686567300620218,0.0,0.009345794392523364,0.0,0.0,154.63419999999996,1.2461110000000002,1.8,1.6,2.4
2hcj_B_rec,7,7,0.43738291518486544,0.1644993066380341,3.3054984580222455,0.8827205889274191,0.023358835870825528,0.3507712023663248,0.0,0.0,0.0,0.0,232.70200000000003,-0.3543685714285714,5.285714285714286,3.2857142857142856,3.142857142857143
2jjg_A_rec,9,9,0.5774268844430842,0.09873140298037347,2.6826935608353306,0.8280787824812522,0.009503908431840314,0.19695763222491636,0.0,0.0,0.0,0.0,162.60466666666665,0.7196466666666668,3.5555555555555554,1.7777777777777777,1.3333333333333333
2pc8_A_rec,10,10,0.5153327031705653,0.12387061216782426,4.532232787440729,0.9014219577704862,0.02387970840660396,0.36729854826061237,0.0,0.0,0.0,0.0,177.84299999999996,0.43449700000000047,3.1,2.3,1.6
