pocket,n_molecules,clashes_per_mol,clash_rate,bond_anomalies_per_mol,bond_anomaly_rate,broken_rings_per_mol
14gs_A_rec,9,0.0,0.0,0.2222222222222222,0.018867924528301886,0.0
1a2g_A_rec,8,0.0,0.0,0.0,0.0,0.0
1afs_A_rec,10,0.0,0.0,0.0,0.0,0.0
1ai4_A_rec,6,0.0,0.0,0.16666666666666666,0.014492753623188406,0.0
1coy_A_rec,8,0.0,0.0,1.375,0.09166666666666666,0.0
1d7j_A_rec,9,0.0,0.0,0.4444444444444444,0.03278688524590164,0.0
1djy_A_rec,10,0.0,0.0,0.1,0.005208333333333333,0.0
1dxo_C_rec,10,0.0,0.0,0.2,0.017857142857142856,0.0
1e8h_A_rec,8,0.0,0.0,0.875,0.035897435897435895,0.0
1fmc_B_rec,5,0.0,0.0,0.2,0.011111111111111112,0.0
1gg5_A_rec,9,0.0,0.0,0.6666666666666666,0.04081632653061224,0.0
1h0i_A_rec,5,0.0,0.0,1.0,0.032679738562091505,0.0
1h36_A_rec,6,0.0,0.0,1.0,0.031578947368421054,0.0
1jn2_P_rec,10,0.0,0.0,0.0,0.0,0.0
1k9t_A_rec,9,0.0,0.0,0.0,0.0,0.0
1l3l_A_rec,7,0.0,0.0,1.2857142857142858,0.08256880733944955,0.0
1phk_A_rec,3,0.0,0.0,0.0,0.0,0.0
1r1h_A_rec,8,0.0,0.0,0.75,0.031578947368421054,0.0
1rs9_A_rec,9,0.0,0.0,0.3333333333333333,0.023076923076923078,0.0
1umd_B_rec,6,0.0,0.0,0.5,0.02112676056338028,0.0
2azy_A_rec,9,0.0,0.0,1.4444444444444444,0.09848484848484848,0.0
2cy0_A_rec,7,0.0,0.0,0.0,0.0,0.0
2e24_A_rec,10,0.0,0.0,0.2,0.01680672268907563,0.0
2e6d_A_rec,9,0.0,0.0,0.0,0.0,0.0
2f2c_B_rec,8,0.0,0.0,0.375,0.022058823529411766,0.0
2gns_A_rec,10,0.0,0.0,0.1,0.009345794392523364,0.0
2hcj_B_rec,7,0.0,0.0,0.0,0.0,0.0
2jjg_A_rec,9,0.0,0.0,0.0,0.0,0.0
2pc8_A_rec,10,0.0,0.0,0.0,0.0,0.0
