pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
14gs_A_rec,9,9,0.5502995259854029,0.060707254760999724,3.5917158797493047,0.9200416995569471,0.0018358822145351846,0.09867493385859925,1.1111111111111112,0.02830188679245283,0.0,2.6589215520764657,163.09566666666666,1.1245077777777779,2.2222222222222223,1.5555555555555556,1.4444444444444444
1a2g_A_rec,8,8,0.46202777662593375,0.08665205893155865,2.250299195237587,0.8999773465531631,0.023458160752365276,0.353306219653768,1.25,0.018867924528301886,0.0,0.9958725795586991,99.71499999999999,-0.17458750000000012,2.25,1.625,0.875
1afs_A_rec,10,10,0.571397210374214,0.15365583815701286,4.4545027477827395,0.8873509682769485,0.22763598540903043,0.9911983650393206,4.0,0.035211267605633804,0.0,1.1381472616373753,195.7341,0.5276500000000002,2.9,2.2,2.1
1ai4_A_rec,6,6,0.5565608346048582,0.11300306245579851,2.3815028776257017,0.8814544000083289,0.10004360725020361,0.7937707688190512,6.666666666666667,0.014492753623188406,0.16666666666666666,2.074286045464788,164.43283333333332,1.53475,2.5,1.3333333333333333,3.3333333333333335
1coy_A_rec,8,8,0.604150598605452,0.13586898882350773,4.721237225433562,0.9123546794586568,0.13775397061536557,0.9233455525955757,8.75,0.06666666666666667,0.0,0.6928411922396936,224.61849999999998,1.6817100000000003,3.0,1.75,3.0
1d7j_A_rec,9,9,0.47830927774397214,0.1380906137260795,3.024779380941668,0.8744721819391783,0.17405368870777657,0.7232609718461409,66.66666666666667,0.08196721311475409,0.0,3.3069600949319544,218.55111111111114,1.465944444444445,3.5555555555555554,2.6666666666666665,4.222222222222222
1djy_A_rec,10,10,0.4128208634601833,0.1448979273300801,4.5326125651004086,0.9013711698149472,0.1432214668790823,0.8807592996306244,49.0,0.036458333333333336,0.2,3.089083658817653,257.0351,-0.9962799999999998,5.6,3.6,1.7
1dxo_C_rec,10,10,0.5475251868139165,0.07324705673152997,3.0302050916579026,0.8716491101217786,0.08252718009263033,0.6399057871209005,14.0,0.026785714285714284,0.1,3.2848371190002523,169.13549999999995,1.0301800000000005,2.6,1.3,3.9
1e8h_A_rec,8,8,0.2811648529006966,0.15490932123284035,5.168460431863997,0.8537885179850577,0.12582905094130767,0.8329866651532577,20.0,0.06666666666666667,0.0,0.8007670020102498,354.75887500000005,-2.1232662499999986,9.625,6.25,5.0
1fmc_B_rec,5,5,0.5167962040199127,0.1442860335358705,3.9675311203213774,0.8846934620014762,0.2876537597648153,1.3631743904802176,42.0,0.06666666666666667,0.0,1.9441727680304086,250.60240000000005,3.433160000000003,2.2,1.2,5.4
