pocket,n_molecules,clashes_per_mol,clash_rate,bond_anomalies_per_mol,bond_anomaly_rate,broken_rings_per_mol
14gs_A_rec,9,0.0,0.0,0.1111111111111111,0.006622516556291391,0.0
1a2g_A_rec,8,0.0,0.0,0.25,0.017699115044247787,0.0
1afs_A_rec,7,0.0,0.0,0.2857142857142857,0.014084507042253521,0.0
1ai4_A_rec,9,0.0,0.0,0.2222222222222222,0.012195121951219513,0.0
1coy_A_rec,9,0.0,0.0,0.3333333333333333,0.014634146341463415,0.0
1d7j_A_rec,10,0.0,0.0,0.5,0.019083969465648856,0.0
1djy_A_rec,8,0.0,0.0,0.375,0.01507537688442211,0.0
1dxo_C_rec,9,0.0,0.0,0.4444444444444444,0.022598870056497175,0.0
1e8h_A_rec,10,0.0,0.0,0.7,0.02464788732394366,0.0
1fmc_B_rec,10,0.0,0.0,0.5,0.018867924528301886,0.0
1gg5_A_rec,8,0.0,0.0,1.5,0.06557377049180328,0.0
1h0i_A_rec,10,0.0,0.0,0.4,0.010362694300518135,0.0
1h36_A_rec,9,0.0,0.0,0.7777777777777778,0.020958083832335328,0.0
1jn2_P_rec,9,0.0,0.0,0.0,0.0,0.0
1k9t_A_rec,10,0.0,0.0,0.0,0.0,0.0
1l3l_A_rec,8,0.0,0.0,0.0,0.0,0.0
1phk_A_rec,8,0.0,0.0,0.875,0.026923076923076925,0.0
1r1h_A_rec,10,0.0,0.0,0.9,0.030405405405405407,0.0
1rs9_A_rec,9,0.0,0.0,0.7777777777777778,0.03255813953488372,0.0
1umd_B_rec,5,0.0,0.0,0.6,0.01875,0.0
2azy_A_rec,9,0.0,0.0,1.5555555555555556,0.07106598984771574,0.0
2cy0_A_rec,9,0.0,0.0,0.0,0.0,0.0
2e24_A_rec,9,0.0,0.0,0.4444444444444444,0.031496062992125984,0.0
2e6d_A_rec,10,0.0,0.0,0.0,0.0,0.0
2f2c_B_rec,8,0.0,0.0,0.875,0.03211009174311927,0.0
2gns_A_rec,8,0.0,0.0,0.25,0.014705882352941176,0.0
2hcj_B_rec,8,0.0,0.0,0.0,0.0,0.0
2jjg_A_rec,9,0.0,0.0,0.1111111111111111,0.007042253521126761,0.0
2pc8_A_rec,8,0.0,0.0,0.5,0.025477707006369428,0.0
2pqw_A_rec,10,0.0,0.0,0.0,0.0,0.0
2rhy_A_rec,9,0.0,0.0,0.0,0.0,0.0
2rma_A_rec,10,0.0,0.0,0.2,0.00847457627118644,0.0
2v3r_A_rec,10,0.0,0.0,0.0,0.0,0.0
2z3h_A_rec,9,0.0,0.0,0.1111111111111111,0.005813953488372093,0.0
2zen_A_rec,8,0.0,0.0,0.0,0.0,0.0
3af2_A_rec,5,0.0,0.0,0.4,0.013986013986013986,0.0
3b6h_A_rec,9,0.0,0.0,0.1111111111111111,0.005050505050505051,0.0
3chc_B_rec,7,0.0,0.0,0.14285714285714285,0.00909090909090909,0.0
3daf_A_rec,10,0.0,0.0,0.6,0.015873015873015872,0.0
3dzh_A_rec,9,0.0,0.0,1.1111111111111112,0.03003003003003003,0.0
3ej8_A_rec,9,0.0,0.0,0.2222222222222222,0.013605442176870748,0.0
3g51_A_rec,9,0.0,0.0,0.1111111111111111,0.004016064257028112,0.0
3gs6_A_rec,9,0.0,0.0,0.2222222222222222,0.012269938650306749,0.0
3hy9_B_rec,10,0.0,0.0,1.0,0.04329004329004329,0.0
3jyh_A_rec,7,0.0,0.0,0.0,0.0,0.0
3kc1_A_rec,8,0.0,0.0,0.75,0.03428571428571429,0.0
3l3n_A_rec,7,0.0,0.0,0.0,0.0,0.0
3li4_A_rec,10,0.0,0.0,0.2,0.008403361344537815,0.0
3nfb_A_rec,10,0.0,0.0,0.3,0.014018691588785047,0.0
3o96_A_rec,9,0.0,0.0,0.3333333333333333,0.008928571428571428,0.0
3pdh_A_rec,10,0.0,0.0,0.6,0.023255813953488372,0.0
3pnm_A_rec,6,0.0,0.0,0.0,0.0,0.0
3tym_A_rec,10,0.0,0.0,0.9,0.033582089552238806,0.0
3u5y_B_rec,10,0.0,0.0,0.0,0.0,0.0
3u9f_C_rec,9,0.0,0.0,0.4444444444444444,0.0182648401826484,0.0
3v4t_A_rec,9,0.0,0.0,0.8888888888888888,0.037914691943127965,0.0
3w83_B_rec,10,0.0,0.0,0.0,0.0,0.0
4aaw_A_rec,9,0.0,0.0,0.1111111111111111,0.007042253521126761,0.0
4aua_A_rec,8,0.0,0.0,0.375,0.017045454545454544,0.0
4azf_A_rec,9,0.0,0.0,1.2222222222222223,0.0502283105022831,0.0
4bel_A_rec,8,0.0,0.0,0.875,0.02491103202846975,0.0
4d7o_A_rec,9,0.0,0.0,0.5555555555555556,0.017605633802816902,0.0
4f1m_A_rec,8,0.0,0.0,0.25,0.00819672131147541,0.0
4g3d_B_rec,7,0.0,0.0,0.14285714285714285,0.004830917874396135,0.0
4gvd_A_rec,10,0.0,0.0,0.0,0.0,0.0
4h3c_A_rec,9,0.0,0.0,1.3333333333333333,0.05150214592274678,0.0
4iiy_A_rec,9,0.0,0.0,1.3333333333333333,0.041666666666666664,0.0
4iwq_A_rec,9,0.0,0.0,0.2222222222222222,0.008097165991902834,0.0
