pocket,n_molecules,clashes_per_mol,clash_rate,bond_anomalies_per_mol,bond_anomaly_rate,broken_rings_per_mol
14gs_A_rec,9,0.0,0.0,0.1111111111111111,0.006622516556291391,0.0
1a2g_A_rec,8,5.0,0.37735849056603776,0.25,0.017699115044247787,0.0
1afs_A_rec,7,2.857142857142857,0.15037593984962405,0.2857142857142857,0.014084507042253521,0.0
1ai4_A_rec,9,15.555555555555555,0.9032258064516129,0.2222222222222222,0.012195121951219513,0.0
1coy_A_rec,9,0.0,0.0,0.5555555555555556,0.024390243902439025,0.0
1d7j_A_rec,10,2.0,0.08032128514056225,0.5,0.019083969465648856,0.1
1djy_A_rec,8,17.5,0.7216494845360825,0.75,0.03015075376884422,0.0
1dxo_C_rec,9,13.333333333333334,0.718562874251497,0.4444444444444444,0.022598870056497175,0.0
1e8h_A_rec,10,1.0,0.03731343283582089,1.0,0.035211267605633804,0.0
1fmc_B_rec,10,2.0,0.0823045267489712,0.4,0.01509433962264151,0.0
1gg5_A_rec,8,2.5,0.12121212121212122,1.125,0.04918032786885246,0.0
1h0i_A_rec,10,8.0,0.22662889518413598,0.8,0.02072538860103627,0.0
1h36_A_rec,9,5.555555555555555,0.16501650165016502,1.0,0.02694610778443114,0.1111111111111111
1jn2_P_rec,9,11.11111111111111,0.6060606060606061,0.1111111111111111,0.005917159763313609,0.0
1k9t_A_rec,10,1.0,0.07518796992481203,0.8,0.05714285714285714,0.1
1l3l_A_rec,8,60.0,2.5668449197860963,0.0,0.0,0.0
1phk_A_rec,8,2.5,0.08196721311475409,1.625,0.05,0.0
1r1h_A_rec,10,9.0,0.3237410071942446,1.0,0.033783783783783786,0.1
1rs9_A_rec,9,8.88888888888889,0.39408866995073893,0.6666666666666666,0.027906976744186046,0.0
1umd_B_rec,5,40.0,1.342281879194631,1.2,0.0375,0.2
2azy_A_rec,9,1.1111111111111112,0.05434782608695652,1.0,0.04568527918781726,0.0
2cy0_A_rec,9,140.0,7.283236994219653,0.6666666666666666,0.030927835051546393,0.0
2e24_A_rec,9,1.1111111111111112,0.07692307692307693,0.7777777777777778,0.05511811023622047,0.0
2e6d_A_rec,10,8.0,0.6722689075630253,0.1,0.008333333333333333,0.0
2f2c_B_rec,8,0.0,0.0,0.625,0.022935779816513763,0.0
2gns_A_rec,8,0.0,0.0,0.125,0.007352941176470588,0.0
2hcj_B_rec,8,2.5,0.10638297872340426,0.875,0.03535353535353535,0.0
2jjg_A_rec,9,7.777777777777778,0.5185185185185185,0.4444444444444444,0.028169014084507043,0.2222222222222222
2pc8_A_rec,8,106.25,5.985915492957746,1.375,0.07006369426751592,0.0
