pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
14gs_A_rec,10,10,0.6670291137256126,0.07298810887105338,3.812815282561919,0.9257480361176071,0.19872094415013056,0.8956765259971547,0.0,0.0,0.0,3.276994137071007,225.08290000000002,1.587520000000001,3.2,1.2,1.2
1a2g_A_rec,10,10,0.5151393681955347,0.18077471615495244,3.0463098121198677,0.9133012812183599,0.8275921753245706,1.9199411045367596,110.0,0.00423728813559322,0.0,2.0474662595138793,295.00890000000004,2.3857900000000005,3.8,1.6,2.7
1afs_A_rec,10,10,0.601275750766511,0.1082183186739156,3.876174684411258,0.9192428463478907,0.029568135156002668,0.4064407071326533,5.0,0.025380710659898477,0.0,0.920306564777688,256.0832,1.380265,3.7,2.3,1.6
1ai4_A_rec,10,10,0.7399224305187804,0.08919749056514123,3.214868560124934,0.9107287701235207,0.035072148328268556,0.43400460297124616,155.0,0.01951219512195122,0.0,2.2115676890594527,262.62800000000004,2.4953160000000008,3.6,1.4,1.4
1coy_A_rec,10,10,0.7214104719649248,0.1139999744944929,3.9375234692020613,0.9186358778981503,0.026099961948518404,0.37593154881579693,5.0,0.03431372549019608,0.0,0.34649134311395524,259.48370000000006,2.477858000000002,2.7,1.7,1.6
1d7j_A_rec,10,10,0.5573282764404835,0.18768252492468274,4.132354980216095,0.9039397674010979,0.06911307533921189,0.6248781099627903,10.0,0.011450381679389313,0.0,4.481763229969301,348.1778000000001,2.3183900000000026,4.2,2.2,7.1
1djy_A_rec,10,10,0.4989200418611005,0.1589120049922906,4.3612607635691045,0.9107772634772672,0.15327599634248165,0.8935002350737647,15.0,0.046218487394957986,0.2,3.4982784157964906,317.06590000000006,-0.052769999999999116,5.4,3.7,3.3
1dxo_C_rec,10,10,0.6951216011490744,0.1963387290683219,3.5448988120871876,0.9183574429422483,0.11747508877380929,0.8183545705275872,30.0,0.03431372549019608,0.1,3.6861183024444992,265.40109999999993,2.3621860000000017,3.3,1.8,2.9
1e8h_A_rec,10,10,0.21577421486221143,0.11699609819463243,5.525946637907365,0.8150538433604889,0.03316660189240997,0.4048311153542397,100.0,0.024922118380062305,0.0,0.991489645316093,473.96400000000006,-2.078543,12.7,6.8,6.0
1fmc_B_rec,10,10,0.6759916729441764,0.17198729644556912,4.309797457133543,0.9078303631704749,0.02001834653767273,0.34290690859868195,0.0,0.037037037037037035,0.0,2.0318699500628794,356.31290000000007,1.9268880000000013,4.9,2.3,3.4
1gg5_A_rec,10,10,0.5989241954999389,0.14271886165667796,3.966920323013704,0.9118648728299155,0.16336540747082953,0.8385312480154552,65.0,0.012145748987854251,0.0,1.803395441983642,311.07380000000006,2.0163700000000007,4.1,2.0,1.5
1h0i_A_rec,10,10,0.36368059869587654,0.2686623922682082,5.259959507233178,0.903096866975007,0.0820941206874143,0.6800888437289286,60.0,0.03296703296703297,0.0,2.660721934771657,486.98540000000014,-0.3435429999999965,9.7,5.8,6.7
1h36_A_rec,10,10,0.5162015249815578,0.15922722876837828,4.304556360462409,0.8920779894179816,0.03205192707286938,0.4207734206252256,75.0,0.009950248756218905,0.0,0.6704371018074378,492.9296000000002,4.814822000000004,4.7,0.8,5.4
1jn2_P_rec,10,10,0.34908907386566235,0.12335684206250107,3.9739138218432166,0.9054157119953512,0.3129614181700806,1.1425991635175305,25.0,0.0,0.0,4.730400933230847,229.1121,-1.8286399999999996,5.7,4.5,3.6
1k9t_A_rec,10,10,0.5450556175419485,0.16175135290621132,4.271356117521223,0.9383449076754986,0.43483704828158576,1.4725512813448474,0.0,0.05027932960893855,0.0,4.993776317388722,228.29680000000002,1.0483540000000007,3.7,2.5,2.1
1l3l_A_rec,10,10,0.6717305163215885,0.1249586930617695,3.5618872392872936,0.9087691498323861,0.014467870519627087,0.27196005410067287,290.0,0.011235955056179775,0.4,0.6184664358833821,327.4229000000001,3.1949800000000015,3.5,1.5,2.2
1phk_A_rec,10,10,0.26759459215332093,0.09337581882378201,5.115925921404264,0.7463124670101676,0.05033193170200211,0.5218535524614237,20.0,0.05693950177935943,0.1,2.168233492251536,440.6537000000002,-1.5105319999999995,11.7,6.4,5.4
1r1h_A_rec,10,10,0.5366486101630864,0.1722564492060082,3.979934384687405,0.8899026296282255,0.04911055279342713,0.5117324482884502,100.0,0.0462046204620462,0.1,2.9799319978893073,403.85260000000017,2.3878280000000016,4.8,3.1,4.8
1rs9_A_rec,10,10,0.6538182179585851,0.15866395939687167,2.9347790415228503,0.9153371450795422,0.0462836810507689,0.4987440763445691,25.0,0.022026431718061675,0.0,1.1506960439613736,304.7472000000001,2.7832070000000018,3.6,1.5,5.9
1umd_B_rec,10,10,0.2702768025114549,0.09843418757425405,5.3769812891812006,0.846457078352683,0.015369158133697719,0.3018331398140155,150.0,0.021406727828746176,0.0,1.0382498906472488,470.5211000000002,0.5175110000000002,10.1,5.0,7.0
2azy_A_rec,10,10,0.6805575618357538,0.16200406932378694,4.434195098920169,0.9174850752086608,0.08181177025203938,0.6744844803370749,75.0,0.036231884057971016,0.0,1.214295774246213,354.2800000000001,3.290293000000002,3.8,1.7,3.0
2cy0_A_rec,10,10,0.5503206615730085,0.10612984163185753,4.626968372981492,0.9146070846541909,0.07676878914606727,0.635666969982711,810.0,0.0546218487394958,0.1,2.4322895006314766,288.0525,1.384130000000001,4.2,2.1,0.7
2e24_A_rec,10,10,0.3845135126909678,0.11477093369125509,5.205556426369095,0.9273118411808876,0.3195665122013196,1.1757034257435144,50.0,0.04390243902439024,0.0,1.0193540105733936,284.46400000000006,-0.301051,6.3,4.0,2.9
2e6d_A_rec,10,10,0.3843847375775086,0.15868242136013497,4.6433122959972515,0.913853606308484,1.1723021838557788,1.8625439026413795,70.0,0.04736842105263158,0.1,2.601503615075074,255.85080000000002,-0.7308699999999989,4.8,3.1,2.9
2f2c_B_rec,10,10,0.6494891962747499,0.15198596478811635,3.523705319499649,0.91859161674845,0.17388515479180336,0.8395954666363166,0.0,0.03347280334728033,0.0,3.552236541470524,308.74230000000006,2.5948100000000016,4.4,1.7,3.1
2gns_A_rec,10,10,0.6207673205010962,0.12270455426765717,3.1542647416865544,0.9249713001550738,0.2088913149306811,1.1103629150621595,5.0,0.00975609756097561,0.0,5.450992424953251,257.97520000000003,3.1972210000000016,2.7,0.9,2.7
2hcj_B_rec,10,10,0.31742555083318,0.10770133362176633,4.272191899851256,0.7942884927913999,0.040150228077691745,0.4737809790144458,20.0,0.04054054054054054,0.0,4.78204247669108,339.2842000000001,-1.0960229999999997,8.2,4.7,6.1
2jjg_A_rec,10,10,0.5624650074433586,0.09380108890730764,4.487435281939875,0.9163483910873925,0.3632108357129416,1.2830218217212557,55.0,0.005154639175257732,0.0,3.1373836975284735,250.36270000000005,0.4298900000000003,5.2,1.9,1.1
2pc8_A_rec,10,10,0.5846556743120116,0.15686581187672,4.920769780621135,0.9195094623008824,0.05549874978211175,0.5418391352248498,265.0,0.07329842931937172,0.0,1.6349911254048557,238.3172,0.4479320000000001,4.0,2.6,0.9
2pqw_A_rec,10,10,0.6440158481419657,0.12839252316083224,2.436320464080269,0.9403374183905644,0.058446060523965275,0.5638988873787629,20.0,0.028169014084507043,0.0,2.791338139618405,193.21169999999998,1.6803420000000002,2.5,1.2,4.0
2rhy_A_rec,10,10,0.529464468275658,0.09876881032317525,2.9211313668201355,0.9466307016460651,0.4828359432749057,1.5284218143282258,20.0,0.018691588785046728,0.0,4.700940839936051,151.98350000000002,0.9800270000000003,2.4,1.3,2.5
2rma_A_rec,10,10,0.4866272667507533,0.22351679959966364,3.7012307906547215,0.8995535352091388,0.06552373765405109,0.5616050493275864,5.0,0.0078125,0.0,3.5697117104632325,352.96670000000006,1.0983000000000005,5.3,3.5,5.8
