pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
14gs_A_rec,46,46,0.6696942649701485,0.11412068928457367,3.3384240779201884,0.8991108158197298,0.05097971234689843,0.5069888942062715,0.0,0.010067114093959731,0.0,0.0,240.12778260869564,1.9410552173913047,3.0,1.0217391304347827,1.2826086956521738
1a2g_A_rec,43,43,0.57210890493442,0.1329194662629176,2.155682586612972,0.818827952462731,0.041218844531707835,0.4395300612051672,0.0,0.003189792663476874,0.0,0.0,185.88855813953487,1.5140446511627907,2.441860465116279,1.3953488372093024,1.372093023255814
1afs_A_rec,41,41,0.5890759915790685,0.12888311370570504,3.9244958302742248,0.892265758466227,0.0479641497593055,0.4779772177739904,0.0,0.00655307994757536,0.0,0.0,243.80419512195127,0.9903690243902441,3.707317073170732,2.4878048780487805,1.5121951219512195
1ai4_A_rec,45,45,0.6991998529381098,0.10081256542086957,2.6983899109334537,0.8496415688623541,0.03762268502882612,0.4204146050067485,0.0,0.018205461638491547,0.0,0.0,226.09931111111112,1.5504833333333337,3.022222222222222,1.511111111111111,1.9333333333333333
1coy_A_rec,43,43,0.7126531025713384,0.08969092539938979,4.2520402619110795,0.882849984460046,0.04614389998265336,0.46816746270147896,0.0,0.017297297297297298,0.0,0.0,273.40453488372094,2.9106041860465135,2.6744186046511627,1.5813953488372092,1.255813953488372
1d7j_A_rec,47,47,0.5923293708664281,0.1673013659473985,3.661093225052761,0.8662285003513331,0.06492568421738086,0.5578804448661472,0.0,0.004016064257028112,0.0,0.0,355.3187872340427,2.0700134042553207,4.446808510638298,2.4468085106382977,7.574468085106383
1djy_A_rec,48,48,0.4644751369056814,0.14470898258536316,3.707373536004628,0.8877853491750978,19.77236722305725,2.7127909285478253,0.0,0.024125452352231604,0.041666666666666664,0.0,243.2081041666667,-0.6078791666666663,4.6875,3.3958333333333335,3.1666666666666665
1dxo_C_rec,40,40,0.7258669567856391,0.12368536806515049,3.183272131169472,0.893664912665585,0.059482915271921726,0.5469088428167124,0.0,0.012422360248447204,0.0,0.0,259.846775,2.050773000000001,3.575,1.775,2.775
1e8h_A_rec,34,34,0.26713145073278255,0.11429392358506987,4.902215119968188,0.6853203700089203,0.025213063178266798,0.36590034854275566,0.0,0.08712487899322362,0.0,0.0,445.8220000000001,-1.893842058823529,11.529411764705882,6.411764705882353,5.470588235294118
1fmc_B_rec,50,50,0.7082837055253463,0.14318118335210925,4.226725779496714,0.8622488077774219,5.229278110072749,1.6333524040347267,0.0,0.03129548762736536,0.04,0.0,353.75780000000015,1.8606900000000008,4.44,2.44,3.14
